Frame ordinal,Time (s),"displacement (vertical, cm)","displacement (horizontal, cm)","velocity (vertical, m/s)","velocity (horizontal, m/s)","acceleration (vertical, m/s^2)","acceleration (horizontal, m/s^2)","power (vertical, kW)","power (horizontal, kW)","force (vertical, kN)","force (horizontal, kN)"
219,43.151,6.11,-36.39,0.01,0.01,-0.04,-0.12,0.02,0.00,1.40,0.00
220,43.184,6.14,-36.37,0.01,-0.00,0.04,-0.22,0.02,0.00,1.41,0.00
221,43.218,6.18,-36.39,0.02,-0.01,0.16,-0.22,0.02,0.00,1.42,0.00
222,43.251,6.24,-36.45,0.02,-0.02,0.24,-0.16,0.03,0.00,1.44,0.00
223,43.284,6.33,-36.52,0.03,-0.02,0.20,-0.07,0.05,0.00,1.43,0.00
224,43.318,6.47,-36.59,0.04,-0.02,0.04,0.05,0.06,0.00,1.41,0.01
225,43.351,6.64,-36.67,0.04,-0.02,-0.17,0.18,0.05,0.00,1.38,0.03
226,43.384,6.77,-36.75,0.03,-0.01,-0.31,0.26,0.04,0.00,1.36,0.04
227,43.418,6.84,-36.77,0.01,0.00,-0.30,0.23,0.02,0.00,1.36,0.03
228,43.451,6.84,-36.72,0.00,0.01,-0.20,0.09,0.01,0.00,1.37,0.01
229,43.484,6.84,-36.67,0.00,0.01,-0.07,-0.06,0.00,0.00,1.39,0.00
230,43.518,6.85,-36.65,0.00,0.00,0.03,-0.14,0.00,0.00,1.41,0.00
231,43.551,6.85,-36.67,0.00,-0.00,0.05,-0.12,0.01,0.00,1.41,0.00
232,43.585,6.86,-36.70,0.01,-0.01,-0.01,-0.07,0.01,0.00,1.40,0.00
233,43.618,6.91,-36.71,0.01,-0.01,-0.10,-0.02,0.01,0.00,1.39,0.00
234,43.651,6.94,-36.74,-0.00,-0.01,-0.21,0.05,0.00,0.00,1.37,0.01
235,43.685,6.90,-36.79,-0.01,-0.01,-0.28,0.15,0.00,0.00,1.36,0.02
236,43.718,6.85,-36.81,-0.02,0.00,-0.26,0.23,0.00,0.00,1.36,0.03
237,43.751,6.78,-36.79,-0.03,0.01,-0.16,0.20,0.00,0.00,1.38,0.03
238,43.785,6.66,-36.73,-0.03,0.02,0.00,0.03,0.00,0.00,1.40,0.00
239,43.818,6.51,-36.64,-0.03,0.01,0.13,-0.19,0.00,0.00,1.42,0.00
240,43.851,6.44,-36.58,-0.02,0.00,0.17,-0.30,0.00,0.00,1.43,0.00
241,43.885,6.41,-36.61,-0.01,-0.01,0.10,-0.25,0.00,0.00,1.42,0.00
242,43.918,6.37,-36.69,-0.01,-0.02,0.02,-0.06,0.00,0.00,1.40,0.00
243,43.951,6.31,-36.76,-0.02,-0.01,-0.01,0.14,0.00,0.00,1.40,0.02
244,43.985,6.25,-36.79,-0.02,-0.00,-0.01,0.21,0.00,0.00,1.40,0.03
245,44.018,6.21,-36.79,-0.01,0.00,-0.04,0.14,0.00,0.00,1.40,0.02
246,44.051,6.16,-36.75,-0.02,0.01,-0.07,0.00,0.00,0.00,1.39,0.00
247,44.085,6.10,-36.71,-0.02,0.00,-0.06,-0.11,0.00,0.00,1.39,0.00
248,44.118,6.02,-36.73,-0.02,-0.00,0.05,-0.15,0.00,0.00,1.41,0.00
249,44.151,5.93,-36.76,-0.02,-0.01,0.22,-0.09,0.00,0.00,1.43,0.00
250,44.185,5.86,-36.78,-0.01,-0.01,0.39,0.08,0.00,0.00,1.46,0.01
